0	1
1	5
2	6
3	3
4	4
5	5
6	5
7	1
8	5
9	5
10	2
11	2
12	6
13	1
14	3
15	2
16	6
17	2
18	6
19	1
20	4
21	5
22	2
23	1
24	3
25	5
26	3
27	3
28	6
29	6
30	6
31	4
32	2
33	5
34	3
35	6
36	6
37	5
38	5
39	6
40	5
41	6
42	4
43	5
44	5
45	1
46	6
47	6
48	2
49	6
50	5
51	3
52	5
53	4
54	6
55	6
56	2
57	1
58	5
59	6
60	5
61	5
62	2
63	6
64	6
65	6
66	5
67	2
68	6
69	6
70	3
71	6
72	6
73	5
74	2
75	1
76	5
77	2
78	6
79	1
80	5
81	5
82	6
83	4
84	2
85	1
86	1
87	5
88	6
89	6
90	2
91	6
92	1
93	5
94	2
95	6
96	6
97	5
98	5
99	5
100	6
101	2
102	5
103	5
104	6
105	6
106	5
107	2
108	6
109	5
110	2
111	6
112	2
113	1
114	5
115	2
116	2
117	5
118	3
119	5
120	6
121	1
122	3
123	1
124	5
125	6
126	1
127	1
128	6
129	5
130	5
131	3
132	2
133	1
134	5
135	6
136	3
137	5
138	2
139	5
140	5
141	4
142	3
143	6
144	1
145	6
146	6
147	1
148	2
149	6
150	6
151	3
152	1
153	5
154	5
155	6
156	1
157	5
158	2
159	5
160	6
161	6
162	2
163	2
164	2
165	2
166	5
167	5
168	4
169	1
170	1
171	2
172	1
173	6
174	5
175	4
176	4
177	3
178	1
179	3
180	3
181	5
182	3
183	3
184	6
185	5
186	6
187	5
188	2
189	5
190	5
191	2
192	4
193	5
194	2
195	2
196	5
197	2
198	6
199	5
200	6
201	4
202	6
203	5
204	4
205	5
206	5
207	4
208	6
209	5
210	1
211	5
212	3
213	2
214	4
215	3
216	1
217	5
218	2
219	1
220	2
221	4
222	5
223	2
224	6
225	5
226	6
227	5
228	2
229	5
230	2
231	5
232	5
233	1
234	6
235	3
236	2
237	5
238	5
239	1
240	6
241	6
242	5
243	5
244	6
245	6
246	4
247	2
248	6
249	2
250	5
251	1
252	2
253	2
254	1
255	4
256	2
257	2
258	6
259	6
260	5
261	4
262	3
263	3
264	6
265	6
266	2
267	5
268	2
269	4
270	3
271	5
272	5
273	2
274	5
275	6
276	5
277	5
278	2
279	4
280	4
281	6
282	5
283	6
284	2
285	6
286	5
287	2
288	6
289	5
290	5
291	2
292	6
293	6
294	6
295	5
296	2
297	6
298	1
299	2
300	4
301	1
302	1
303	5
304	2
305	4
306	3
307	6
308	2
309	4
310	2
311	5
312	2
313	6
314	2
315	6
316	5
317	3
318	1
319	5
320	2
321	5
322	2
323	6
324	6
325	6
326	2
327	2
328	2
329	6
330	2
331	3
332	6
333	5
334	5
335	3
336	4
337	2
338	2
339	1
340	5
341	2
342	2
343	5
344	3
345	2
346	2
347	1
348	1
349	5
350	4
351	1
352	5
353	3
354	4
355	5
356	4
357	5
358	6
